name,latitude,longitude,description
SS_Maheno,-25.267204,153.2371477,Fraser Island wreck Australia
MV_Dimitrios,36.7890368,22.5857987,Valtaki Beach Greece
NV_Dimitrios,40.2154701,18.4613389,Salento Puglia Italy
Eduard_Bohlen,-23.99595325,14.45748791,Skeleton Coast Namibia
SS_Ayrfield,-33.83312963,151.07680459,Homebush Bay Sydney rusted hull
Navagio_Wreck,37.85954092,20.62484606,Navagio Greece
Sheridan_Wreck,43.75622605,-69.32168053,Maine United States
JD_Rochford_Wreck,51.59603933,0.81533398,Rochford United Kingdom
JD_Bassora,30.56469052,47.78753116,Bassora Iraq
JD_Birkenhead,53.4032111,-3.04623901,Birkenhead United Kingdom
JD_Lacaze,-34.43051383,-57.40818072,Lacaze Uruguay
JD_Kodiak,57.69953671,-152.53911441,Kodiak Alaska USA
Lady_Eva_Navire,50.01568856,-66.84355002,Gaspe Quebec Canada
JD_Sungailat,-1.85894132,106.12757496,Sungailat Indonesia
JD_Derby,-17.33952875,123.59609456,Derby Australia
JD_Cape_Range,-21.78402189,114.16766666,Cape Range Australia
JD_Alkimos,-31.61026839,115.65384435,Alkimos Australia
The_Caleb,37.4981297,-122.4924979,Moss Beach California
The_Caleb,37.49578603,-122.49328408,Mose Beach California
JD_Metochi,35.50441224,23.6908325,Metochi Greece
Lizie_J_Shipwreck,12.10904006,-61.74712536,Grenada Caribbean
JD_Akutan,54.2087194,-165.6175082,Akutan Alaska USA
JD_Lvinaya_Bay,44.6593091,147.03383944,Lvinaya Bay Russia
JD_Ravenna,44.47072587,12.26590515,Ravenna Italy
JD_Piel_Morena,-33.78509154,-59.1743463,Piel Morena Argentina
JD_Puerto_Cortes,15.82649182,-87.93367841,Puerto Cortes Honduras
JD_Quequen_River,-38.56976242,-58.71466326,Quequen River Argentina
JD_Franks_Bay,59.14905544,-2.61659642,Franks Bay Scotland
JD_Harbour,47.4447056,-53.2058222,Saint-Pierre Harbour Canada
JD_Harbour_Grace,47.67062625,-53.25381016,Harbour Grace Canada
JD_Hanish_Island,14.02534541,42.69217782,Hanish Island Yemen
SS_City_of_Adelaide,-19.17474558,146.82543712,City of Adelaide Australia
MV_Captayannis,55.9758955,-4.7417985,Helensburgh United Kingdom
MV_Plassey,53.05581858,-9.50366356,Plassey United Kingdom
SS_Benwood,25.0524961,-80.3323347,Miami Florida USA
USS_Utah,21.36896929,-157.96253013,Utah USA
